"","start.station.id","X","start.station.latitude","start.station.longitude","hire","start.station.name"
"172",417,26,40.71291224,-74.01020234,3358,"Barclay St & Church St"
"434",3260,127,40.7270636334831,-73.9966213703155,3357,"Mercer St & Bleecker St"
"264",531,167,40.71893904,-73.99266288,3310,"Forsyth St & Broome St"
"30",236,235,40.7284186,-73.98713956,3287,"St Marks Pl & 2 Ave"
"284",2021,216,40.75929124,-73.98859651,3284,"W 45 St & 8 Ave"
"262",529,184,40.7575699,-73.99098507,3256,"W 42 St & 8 Ave"
"432",3258,85,40.7501815632568,-74.0021842718124,3236,"W 27 St & 10 Ave"
"202",458,63,40.751396,-74.005226,3230,"11 Ave & W 27 St"
"205",461,292,40.73587678,-73.98205027,3225,"E 20 St & 2 Ave"
"268",536,371,40.74144387,-73.97536082,3213,"1 Ave & E 30 St"
"186",438,248,40.72779126,-73.98564945,3208,"St Marks Pl & 1 Ave"
"210",468,295,40.7652654,-73.98192338,3204,"Broadway & W 56 St"
"80",307,200,40.71427487,-73.98990025,3180,"Canal St & Rutgers St"
"271",540,290,40.7431155537649,-73.9821535348892,3167,"Lexington Ave & E 29 St"
"115",346,57,40.73652889,-74.00618026,3163,"Bank St & Hudson St"
"263",530,192,40.771522,-73.990541,3147,"11 Ave & W 59 St"
"390",3158,284,40.77163851,-73.98261428,3134,"W 63 St & Broadway"
"228",487,369,40.73314259,-73.97573881,3121,"E 20 St & FDR Drive"
"105",335,150,40.72903917,-73.99404649,3107,"Washington Pl & Broadway"
"85",312,209,40.722055,-73.989111,3100,"Allen St & Stanton St"
"194",447,253,40.76370739,-73.9851615,3068,"8 Ave & W 52 St"
"42",251,140,40.72317958,-73.99480012,3044,"Mott St & Prince St"
"239",501,406,40.744219,-73.97121214,3044,"FDR Drive & E 35 St"
"166",410,252,40.72066442,-73.98517977,3033,"Suffolk St & Stanton St"
"280",2008,3,40.70569254,-74.01677685,3029,"Little West St & 1 Pl"
"259",526,255,40.74765947,-73.98490707,3020,"E 33 St & 5 Ave"
"88",315,53,40.70355377,-74.00670227,3003,"South St & Gouverneur Ln"
"98",326,264,40.72953837,-73.98426726,3002,"E 11 St & 1 Ave"
"106",336,108,40.73047747,-73.99906065,2991,"Sullivan St & Washington Sq"
"277",2003,314,40.7338121919663,-73.9805442094803,2983,"1 Ave & E 18 St"
"436",3282,500,40.78307,-73.95939,2965,"5 Ave & E 88 St"
"421",3236,157,40.7589848139963,-73.9937996864319,2964,"W 42 St & Dyer Ave"
"158",401,199,40.72019576,-73.98997825,2939,"Allen St & Rivington St"
"591",3458,337,40.763093872708,-73.9783501625061,2928,"W 55 St & 6 Ave"
"217",476,325,40.74394314,-73.97966069,2924,"E 31 St & 3 Ave"
"225",484,318,40.75500254,-73.98014437,2921,"W 44 St & 5 Ave"
"53",265,177,40.72229346,-73.99147535,2918,"Stanton St & Chrystie St"
"431",3256,19,40.7277140777778,-74.011295735836,2886,"Pier 40 - Hudson River Park"
"77",304,11,40.70463334,-74.01361706,2882,"Broadway & Battery Pl"
"226",485,273,40.75038009,-73.98338988,2874,"W 37 St & 5 Ave"
"23",212,51,40.74334935,-74.00681753,2872,"W 16 St & The High Line"
"391",3159,283,40.77492513,-73.98266566,2836,"W 67 St & Broadway"
"288",3016,480,40.7203677529846,-73.9616507291794,2831,"Kent Ave & N 7 St"
"78",305,436,40.76095756,-73.96724467,2808,"E 58 St & 3 Ave"
"257",524,276,40.75527307,-73.98316936,2800,"W 43 St & 6 Ave"
"97",325,258,40.73624527,-73.98473765,2789,"E 19 St & 3 Ave"
"740",3632,331,40.7280485713626,-73.9788115024567,2789,"E 12 St & Avenue B"
"219",478,110,40.76030096,-73.99884222,2780,"11 Ave & W 41 St"
"273",546,278,40.74444921,-73.98303529,2767,"E 30 St & Park Ave S"
"400",3168,420,40.78472675,-73.96961715,2761,"Central Park West & W 85 St"
"146",388,76,40.749717753,-74.002950346,2756,"W 26 St & 10 Ave"
"254",520,360,40.75992262,-73.97648516,2743,"W 52 St & 5 Ave"
"56",268,102,40.71910537,-73.99973337,2741,"Howard St & Centre St"
"595",3463,222,40.7353670556054,-73.9879739284515,2733,"E 16 St & Irving Pl"
"21",174,349,40.7381765,-73.97738662,2727,"E 25 St & 1 Ave"
"128",361,173,40.71605866,-73.99190759,2723,"Allen St & Hester St"
"18",167,367,40.7489006,-73.97604882,2718,"E 39 St & 3 Ave"
"160",403,189,40.72502876,-73.99069656,2707,"E 2 St & 2 Ave"
"249",515,144,40.76009437,-73.99461843,2702,"W 43 St & 10 Ave"
"373",3137,440,40.77282817,-73.96685276,2694,"5 Ave & E 73 St"
"76",303,103,40.72362738,-73.99949601,2672,"Mercer St & Spring St"
"104",334,119,40.74238787,-73.99726235,2651,"W 20 St & 7 Ave"
"377",3142,484,40.7612274,-73.96094022,2634,"1 Ave & E 62 St"
"572",3429,343,40.6850680730818,-73.9779075980186,2634,"Hanson Pl & Ashland Pl"
"261",528,353,40.74290902,-73.97706058,2631,"2 Ave & E 31 St"
"139",377,59,40.72243797,-74.00566443,2614,"6 Ave & Canal St"
"168",412,148,40.7158155,-73.99422366,2613,"Forsyth St & Canal St"
"195",448,116,40.75660359,-73.9979009,2585,"W 37 St & 10 Ave"
"600",3474,70,40.7252556952547,-74.0041208267212,2580,"6 Ave & Spring St"
"55",267,228,40.75097711,-73.98765428,2564,"Broadway & W 36 St"
"233",495,165,40.76269882,-73.99301222,2560,"W 47 St & 10 Ave"
"90",317,297,40.72453734,-73.98185424,2554,"E 6 St & Avenue B"
"22",195,24,40.70905623,-74.01043382,2532,"Liberty St & Broadway"
"221",480,191,40.76669671,-73.99061728,2524,"W 53 St & 10 Ave"
"74",301,269,40.72217444,-73.98368779,2507,"E 2 St & Avenue B"
"189",441,435,40.756014,-73.967416,2503,"E 52 St & 2 Ave"
"91",319,30,40.711066,-74.009447,2497,"Fulton St & Broadway"
"336",3093,510,40.71745169,-73.95850939,2494,"N 6 St & Bedford Ave"
"282",2010,83,40.72165481,-74.00234737,2484,"Grand St & Greene St"
"245",508,126,40.76341379,-73.99667444,2451,"W 46 St & 11 Ave"
"265",532,486,40.710451,-73.960876,2448,"S 5 Pl & S 5 St"
"212",470,97,40.74345335,-74.00004031,2430,"W 20 St & 8 Ave"
"596",3466,288,40.7566872060318,-73.9825773239136,2413,"W 45 St & 6 Ave (OLD)"
"375",3140,566,40.77140426,-73.9535166,2412,"1 Ave & E 78 St"
"414",3223,427,40.7589965596051,-73.9686539769173,2393,"E 55 St & 3 Ave"
"759",3664,25,40.7201952143746,-74.0103006362915,2392,"North Moore St & Greenwich St"
"152",394,347,40.72521311,-73.97768752,2389,"E 9 St & Avenue C"
"1",72,153,40.76727216,-73.99392888,2385,"W 52 St & 11 Ave"
"211",469,282,40.76344058,-73.98268129,2381,"Broadway & W 53 St"
"258",525,87,40.75594159,-74.0021163,2337,"W 34 St & 11 Ave"
"433",3259,105,40.7493702419328,-73.9992338418961,2335,"9 Ave & W 28 St"
"238",500,274,40.76228826,-73.98336183,2329,"Broadway & W 51 St"
"741",3635,137,40.7546232402911,-73.9951676130295,2326,"W 36 St & 9 Ave"
"130",363,1,40.70834698,-74.01713445,2315,"West Thames St"
"752",3656,247,40.7230774906867,-73.9858362078667,2313,"E 2 St & Avenue A"
"43",252,112,40.73226398,-73.99852205,2287,"MacDougal St & Washington Sq"
"270",539,495,40.71534825,-73.96024116,2281,"Metropolitan Ave & Bedford Ave"
"266",533,233,40.75299641,-73.98721619,2272,"Broadway & W 38 St"
"178",423,239,40.76584941,-73.98690506,2261,"W 54 St & 9 Ave"
"100",328,28,40.72405549,-74.00965965,2254,"Watts St & Greenwich St"
"283",2012,356,40.739445,-73.976806,2234,"E 27 St & 1 Ave"
"135",369,94,40.73224119,-74.00026394,2233,"Washington Pl & 6 Ave"
"382",3147,559,40.77801203,-73.95407149,2232,"E 85 St & 3 Ave"
"122",355,101,40.71602118,-73.99974372,2214,"Bayard St & Baxter St"
"393",3161,350,40.7801839724239,-73.9772853255272,2161,"W 76 St & Columbus Ave"
"188",440,395,40.75255434,-73.97282625,2158,"E 45 St & 3 Ave"
"555",3409,190,40.6867443,-73.99063168,2147,"Bergen St & Smith St"
"82",309,13,40.7149787,-74.013012,2143,"Murray St & West St"
"204",460,447,40.71285887,-73.96590294,2131,"S 4 St & Wythe Ave"
"240",502,304,40.714215,-73.981346,2130,"Henry St & Grand St"
"333",3090,539,40.71774592,-73.95600096,2124,"N 8 St & Driggs Ave"
"599",3472,47,40.742753828659,-74.0074735879898,2096,"W 15 St & 10 Ave"
"593",3461,20,40.7148515052625,-74.0112233161926,2076,"Murray St & Greenwich St"
"274",2000,206,40.70255088,-73.98940236,2068,"Front St & Washington St"
"378",3143,459,40.7763214218227,-73.9642739295959,2068,"5 Ave & E 78 St"
"199",455,423,40.75001986,-73.96905301,2066,"1 Ave & E 44 St"
"764",3674,241,40.7014031725772,-73.9867267012596,2053,"Jay St & York St"
"255",522,398,40.75714758,-73.97207836,2043,"E 51 St & Lexington Ave"
"402",3170,394,40.78499979,-73.97283406,2032,"W 84 St & Columbus Ave"
"447",3295,454,40.79127,-73.964839,2028,"Central Park W & W 96 St"
"406",3175,280,40.77748046,-73.98288594,2026,"W 70 St & Amsterdam Ave"
"62",279,90,40.707873,-74.00167,2022,"Peck Slip & Front St"
"84",311,221,40.7172274,-73.98802084,2017,"Norfolk St & Broome St"
"276",2002,464,40.716887,-73.963198,2011,"Wythe Ave & Metropolitan Ave"
"754",3659,69,40.7429489166009,-74.0041369199753,2003,"W 17 St & 9 Ave"
"574",3431,344,40.746524,-73.977885,2001,"E 35 St & 3 Ave"
"39",247,66,40.73535398,-74.00483091,1982,"Perry St & Bleecker St"
"200",456,383,40.7597108,-73.97402311,1959,"E 53 St & Madison Ave"
"392",3160,386,40.77896784,-73.97374737,1945,"Central Park West & W 76 St"
"177",422,220,40.770513,-73.988038,1930,"W 59 St & 10 Ave"
"580",3440,205,40.6924182925785,-73.989494740963,1919,"Fulton St & Adams St"
"124",357,176,40.73261787,-73.99158043,1910,"E 11 St & Broadway"
"149",391,160,40.69760127,-73.99344559,1899,"Clark St & Henry St"
"403",3171,359,40.78524672,-73.97667321,1899,"Amsterdam Ave & W 82 St"
"524",3374,546,40.799484,-73.955613,1899,"Central Park North & Adam Clayton Powell Blvd"
"753",3658,71,40.7435337324616,-74.0036755800247,1893,"W 18 St & 9 Ave"
"72",296,123,40.71413089,-73.9970468,1886,"Division St & Bowery"
"247",513,215,40.768254,-73.988639,1886,"W 56 St & 10 Ave"
"510",3360,333,40.7829391,-73.9786517,1881,"Amsterdam Ave & W 79 St"
"33",239,305,40.69196566,-73.9813018,1874,"Willoughby St & Fleet St"
"95",323,244,40.69236178,-73.98631746,1863,"Lawrence St & Willoughby St"
"592",3459,421,40.7576322773944,-73.9693057537079,1862,"E 53 St & 3 Ave"
"388",3156,567,40.76663814,-73.95348296,1854,"E 72 St & York Ave"
"568",3423,327,40.6610633719006,-73.9794525504112,1841,"West Drive & Prospect Park West"
"12",150,311,40.7208736,-73.98085795,1829,"E 2 St & Avenue C"
"437",3283,414,40.7882213,-73.97041561,1827,"W 89 St & Columbus Ave"
"350",3112,517,40.72906,-73.95779,1818,"Milton St & Franklin St"
"2",79,54,40.71911552,-74.00666661,1811,"Franklin St & W Broadway"
"118",350,236,40.71559509,-73.9870295,1809,"Clinton St & Grand St"
"11",146,33,40.71625008,-74.0091059,1807,"Hudson St & Reade St"
"420",3235,321,40.752165280622,-73.9799219369888,1782,"E 41 St & Madison Ave"
"416",3226,404,40.78275,-73.97137,1778,"W 82 St & Central Park West"
"25",217,155,40.70277159,-73.99383605,1768,"Old Fulton St"
"369",3132,409,40.76350532,-73.97109243,1768,"E 59 St & Madison Ave"
"17",164,416,40.75323098,-73.97032517,1759,"E 47 St & 2 Ave"
"425",3243,472,40.7589238637769,-73.9622622728348,1736,"E 58 St & 1 Ave"
"46",257,81,40.71939226,-74.00247214,1729,"Lispenard St & Broadway"
"215",473,172,40.72110063,-73.9919254,1714,"Rivington St & Chrystie St"
"453",3301,431,40.7919557,-73.968087,1713,"Columbus Ave & W 95 St"
"71",295,166,40.71406667,-73.99293911,1696,"Pike St & E Broadway"
"101",330,60,40.71450451,-74.00562789,1694,"Reade St & Broadway"
"27",228,400,40.7546011026,-73.971878855,1685,"E 48 St & 3 Ave"
"346",3107,582,40.72311651,-73.95212324,1684,"Bedford Ave & Nassau Ave"
"405",3173,213,40.777507027548,-73.9888858795166,1677,"Riverside Blvd & W 67 St"
"129",362,231,40.75172632,-73.98753523,1670,"Broadway & W 37 St"
"48",259,16,40.70122128,-74.01234218,1667,"South St & Whitehall St"
"335",3092,509,40.7190095,-73.95852515,1654,"Berry St & N 8 St"
"144",386,84,40.71494807,-74.00234482,1652,"Centre St & Worth St"
"66",284,80,40.7390169121,-74.0026376103,1641,"Greenwich Ave & 8 Ave"
"93",321,203,40.69991755,-73.98971773,1633,"Cadman Plaza E & Red Cross Pl"
"549",3402,169,40.6902375,-73.99203074,1617,"Court St & State St"
"150",392,234,40.695065,-73.987167,1608,"Jay St & Tech Pl"
"366",3129,682,40.75110165,-73.94073717,1608,"Queens Plaza North & Crescent St"
"398",3166,249,40.7805779901033,-73.9856243133545,1607,"Riverside Dr & W 72 St"
"356",3119,558,40.74232744,-73.95411749,1595,"Vernon Blvd & 50 Ave"
"466",3314,399,40.7937704,-73.971888,1581,"W 95 St & Broadway"
"286",2023,417,40.75968085,-73.97031366,1580,"E 55 St & Lexington Ave"
