"","start.station.id","start.station.latitude","start.station.longitude","hire"
"130",3427,40.7243052725033,-73.9960098266602,3707
"131",3384,40.6787242,-73.99599099,742
"132",3435,40.718822,-73.99596,4190
"133",406,40.69512845,-73.99595065,1380
"134",216,40.70037867,-73.99548059,577
"135",446,40.74487634,-73.99529885,3916
"136",3408,40.6881529,-73.99520919,896
"137",3635,40.7546232402911,-73.9951676130295,2280
"138",280,40.73331967,-73.99510132,406
"139",3244,40.7314372408523,-73.9949034154415,3727
"140",251,40.72317958,-73.99480012,2966
"141",3382,40.680611,-73.99475825,1141
"142",3255,40.7505853470215,-73.9946848154068,6545
"143",3432,40.6690601350111,-73.9946365356445,58
"144",515,40.76009437,-73.99461843,2480
"145",168,40.73971301,-73.99456405,4525
"146",253,40.73543934,-73.99453948,138
"147",3303,40.6849894,-73.99440329,517
"148",412,40.7158155,-73.99422366,2570
"149",435,40.74173969,-73.99415556,7034
"150",335,40.72903917,-73.99404649,3030
"151",408,40.71076228,-73.99400398,1063
"152",490,40.751551,-73.993934,5628
"153",72,40.76727216,-73.99392888,2328
"154",442,40.746647,-73.993915,4104
"155",217,40.70277159,-73.99383605,1738
"156",3298,40.686371,-73.99383324,745
"157",3236,40.7589848139963,-73.9937996864319,2692
"158",229,40.72743423,-73.99379025,4894
"159",3381,40.6777287,-73.99364123,398
"160",391,40.69760127,-73.99344559,1845
"161",143,40.69239502,-73.99337909,1517
"162",3324,40.6685455,-73.99333264,374
"163",3401,40.6724811,-73.99331394,242
"164",3329,40.6829151,-73.99318208,609
"165",495,40.76269882,-73.99301222,2462
"166",295,40.71406667,-73.99293911,1675
"167",531,40.71893904,-73.99266288,3216
"168",496,40.73726186,-73.99238967,3963
"169",3402,40.6902375,-73.99203074,1583
"170",382,40.73492695,-73.99200509,5605
"171",331,40.71173107,-73.99193043,1100
"172",473,40.72110063,-73.9919254,1650
"173",361,40.71605866,-73.99190759,2676
"174",3242,40.6910292567797,-73.991833627224,1072
"175",379,40.749156,-73.9916,4586
"176",357,40.73261787,-73.99158043,1883
"177",265,40.72229346,-73.99147535,2827
"178",407,40.700469,-73.991454,764
"179",466,40.74395411,-73.99144871,3601
"180",523,40.75466591,-73.99138152,5483
"181",479,40.76019252,-73.9912551,3553
